"","x"
"1",0.92
"2",1.85866666666667
"3",2.808
"4",3.808
"5",4.75466666666667
"6",5.7
"7",6.608
"8",7.532
"9",8.49066666666667
"10",9.41066666666667
"11",10.3306666666667
"12",11.2773333333333
"13",12.2266666666667
"14",13.1346666666667
"15",14.0706666666667
"16",15.0026666666667
"17",15.952
"18",16.8933333333333
"19",17.8
"20",18.72
"21",19.6266666666667
"22",20.576
"23",21.5213333333333
"24",22.4413333333333
"25",23.3746666666667
"26",24.3333333333333
"27",25.2413333333333
"28",26.172
"29",27.1053333333333
"30",28.0253333333333
"31",28.972
"32",29.9133333333333
"33",30.9
"34",31.86
"35",32.86
"36",33.7693333333333
"37",34.6866666666667
"38",35.5946666666667
"39",36.5106666666667
"40",37.484
"41",38.4093333333333
"42",39.3266666666667
"43",40.3
"44",41.2866666666667
"45",42.2733333333333
"46",43.1946666666667
"47",44.1066666666667
"48",45.0933333333333
"49",46.016
"50",46.9493333333333
